Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,27/02/2019 12:55,FALSE,Sheffield Running,5.04,557,00:33:36,160,189,4.5,150,186,06:40,04:46,124,99,1,0,0,--,--,0,0,0,--,--,--,33:36:00,00:00,0,00:00,No,05:38.7,6,0
Running,20/02/2019 18:05,FALSE,Sheffield Running,7.04,745,00:44:40,160,176,4.6,156,245,06:21,04:09,103,139,1.01,0,0,--,--,0,0,0,--,--,--,44:40:00,00:00,0,00:00,No,05:31.6,8,0
Running,13/02/2019 17:47,FALSE,Sheffield Running,6.03,604,00:37:26,156,180,4,156,240,06:12,04:27,118,139,1.03,0,0,--,--,0,0,0,--,--,--,37:26:00,00:00,0,00:00,No,05:22.8,7,0
Running,12/02/2019 06:37,FALSE,Sheffield Running,6.03,649,00:39:45,158,182,4.2,152,231,06:35,04:42,119,139,1,0,0,--,--,0,0,0,--,--,--,39:45:00,00:00,0,00:00,No,05:33.0,7,0
Running,11/02/2019 17:19,FALSE,Sheffield Running,6.16,660,00:38:21,164,183,4.6,155,175,06:13,04:43,125,147,1.04,0,0,--,--,0,0,0,--,--,--,38:21:00,00:00,0,00:00,No,05:14.3,7,0
Running,09/02/2019 15:29,FALSE,Sheffield Running,5.15,597,00:37:47,155,186,3.9,145,239,07:21,04:35,140,39,0.93,0,0,--,--,0,0,0,--,--,--,37:47:00,00:00,0,00:00,No,05:18.6,6,0
Running,14/11/2018 08:11,FALSE,Bristol Running,5.35,317,00:30:20,121,136,1.7,165,184,05:40,04:00,69,85,1.07,0,0,--,--,0,0,0,--,--,--,30:20:00,00:00,0,00:00,No,00:00.0,6,0
Running,12/11/2018 16:52,FALSE,Bristol Running,7.06,726,00:42:22,161,185,4,159,245,06:00,04:05,94,145,1.04,0,0,--,--,0,0,0,--,--,--,42:22:00,00:00,0,00:00,No,00:00.0,8,0
Running,06/11/2018 16:53,FALSE,Bristol Running,7.22,705,00:42:59,156,178,3.6,159,234,05:57,03:59,97,139,1.05,0,0,--,--,0,0,0,--,--,--,42:59:00,00:00,0,00:00,No,00:00.0,8,0
Running,02/11/2018 16:59,FALSE,Bristol Running,7.15,674,00:40:15,156,184,3.7,161,232,05:38,04:34,101,137,1.1,0,0,--,--,0,0,0,--,--,--,40:15:00,00:00,0,00:00,No,00:00.0,8,0
Running,31/10/2018 20:00,FALSE,Bristol Running,5.34,445,00:30:03,142,181,2.9,159,173,05:38,04:31,71,76,1.11,0,0,--,--,0,0,0,--,--,--,30:03:00,00:00,0,00:00,No,00:00.0,6,0
Running,26/10/2018 18:15,FALSE,Bristol Running,7.13,640,00:42:31,144,174,3.1,158,237,05:58,04:30,90,134,1.06,0,0,--,--,0,0,0,--,--,--,42:31:00,00:00,0,00:00,No,00:00.0,8,0
Running,24/10/2018 18:29,FALSE,Bristol Running,10.06,"1,014",01:02:12,154,172,3.8,157,240,06:11,04:16,117,179,1.03,0,0,--,--,0,0,0,--,--,--,01:02:12,00:00,0,00:00,No,00:00.0,11,0
Running,22/10/2018 18:31,FALSE,Bristol Running,6.04,544,00:33:31,151,177,3.3,163,186,05:33,04:40,74,88,1.1,0,0,--,--,0,0,0,--,--,--,33:31:00,00:00,0,00:00,No,00:00.0,7,0
Running,19/10/2018 18:05,FALSE,Bristol Running,10.71,975,01:00:27,154,182,4.1,161,245,05:39,04:20,137,171,1.1,0,0,--,--,0,0,0,--,--,--,01:00:27,00:00,0,00:00,No,00:00.0,11,0
Running,17/10/2018 18:16,FALSE,Bristol Running,5.41,516,00:31:38,156,169,3.3,159,235,05:51,04:01,74,84,1.07,0,0,--,--,0,0,0,--,--,--,31:38:00,00:00,0,00:00,No,00:00.0,6,0
Running,12/10/2018 18:18,FALSE,Bristol Running,10.51,"1,149",01:04:13,165,186,5,159,235,06:07,04:41,128,174,1.03,0,0,--,--,0,0,0,--,--,--,01:04:13,00:00,0,00:00,No,00:00.0,11,0
Running,10/10/2018 19:18,FALSE,Bristol Running,5.2,537,00:33:46,149,169,3.1,159,231,06:30,05:12,64,89,0.97,0,0,--,--,0,0,0,--,--,--,33:46:00,00:00,0,00:00,No,00:00.0,6,0
Running,08/10/2018 18:01,FALSE,Bristol Running,5.01,488,00:30:43,148,178,3.1,161,180,06:08,04:37,66,91,1.01,0,0,--,--,0,0,0,--,--,--,30:43:00,00:00,0,00:00,No,00:00.0,6,0
